0	4.40197e-11	-3.33067e-16	0	1
0.3	4.40811e-11	-3.88578e-15	1.15827e-06	1
0.6	4.41941e-11	-7.43849e-15	4.63103e-06	1
0.9	4.4464e-11	-1.07692e-14	1.04121e-05	1
1.2	4.5124e-11	-1.38778e-14	1.8491e-05	1
1.5	4.71048e-11	-1.67644e-14	2.88534e-05	1
1.8	6.48823e-11	-1.96509e-14	4.14807e-05	1
2.1	1.54919e-10	-2.25375e-14	5.63503e-05	1
2.4	3.88722e-10	-2.52021e-14	7.34352e-05	1
2.7	6.65602e-10	-2.78666e-14	9.27048e-05	1
3	1.17734e-09	-3.03091e-14	0.000114124	1
3.3	1.79912e-09	-3.20854e-14	0.000137655	1
3.6	2.46735e-09	-3.43059e-14	0.000163253	1
3.9	3.16456e-09	-3.56382e-14	0.000190873	1
4.2	4.1808e-09	-3.71925e-14	0.000220463	1
4.5	4.83034e-09	-3.80806e-14	0.00025197	1
4.8	5.50385e-09	-3.87468e-14	0.000285334	1
5.1	6.46694e-09	-3.87468e-14	0.000320494	1
5.4	7.3693e-09	-3.83027e-14	0.000357383	1
5.7	7.97914e-09	-3.74145e-14	0.000395933	1
6	8.42897e-09	-3.51941e-14	0.00043607	1
6.3	8.93418e-09	-3.20854e-14	0.000477717	1
6.6	9.56578e-09	-2.74225e-14	0.000520795	1
6.9	1.02488e-08	-2.12053e-14	0.000565219	1
7.2	1.08694e-08	-1.25455e-14	0.000610903	1
7.5	1.13555e-08	0	0.000657756	1
7.8	1.17012e-08	1.66533e-14	0.000705685	1
8.1	1.19472e-08	4.08562e-14	0.000754594	1
8.4	1.21501e-08	7.54952e-14	0.000804382	1
8.7	1.23577e-08	1.28231e-13	0.000854947	1
9	1.25976e-08	2.11942e-13	0.000906183	1
9.3	1.2876e-08	3.57048e-13	0.000957983	1
9.6	1.31831e-08	6.33937e-13	0.00101023	1
9.9	1.35007e-08	1.22247e-12	0.00106282	1
10.2	1.38088e-08	2.59082e-12	0.00111563	1
